PWSID,requested,responded,voluntary,tag,Service_Connections,Population,Fee_Code,Regulating_Agency,Water_System_Name,bill_freq,bill_freq_other,submetered_YN,expense_2019_Apr,expense_2019_May,expense_2019_Jun,expense_2019_Jul,expense_2019_Aug,expense_2019_Sep,expense_2019_Oct,expense_2019_Total,revenue_2019_Apr,revenue_2019_May,revenue_2019_Jun,revenue_2019_Jul,revenue_2019_Aug,revenue_2019_Sep,revenue_2019_Oct,revenue_2019_Total,expense_2020_Apr,expense_2020_May,expense_2020_Jun,expense_2020_Jul,expense_2020_Aug,expense_2020_Sep,expense_2020_Oct,expense_2020_Total,revenue_2020_Apr,revenue_2020_May,revenue_2020_Jun,revenue_2020_Jul,revenue_2020_Aug,revenue_2020_Sep,revenue_2020_Oct,revenue_2020_Total,comments_exp_rev,cash_reserve_restricted,cash_reserve_unrestricted,cash_reserve_total,months_before_assist,loans_YN,delinquent_num_acc,delinquent_amount_dollars,comments_cash_reserves,filename
CA2702405,y,n,no.response,Bin A,26,56,SC,LPA57 - MONTEREY COUNTY,JENSEN MHP WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2702554,n,NA,not.requested,Bin A,26,102,SC,LPA57 - MONTEREY COUNTY,HIDDEN CANYON RANCH MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3400137,n,NA,not.requested,Bin A,26,33,NA,LPA64 - SACRAMENTO COUNTY,LINCOLN CHAN-HOME RANCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3500579,n,NA,not.requested,Bin A,26,150,SC,DISTRICT 05 - MONTEREY,VINEYARD ESTATES MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3900705,n,NA,not.requested,Bin A,26,55,SC,LPA69 - SAN JOAQUIN COUNTY,FINNLEES TRAILER PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4000670,n,NA,not.requested,Bin A,26,486,SC,LPA70 - SAN LUIS OBISPO COUNTY,WALNUT HILLS MUTUAL WATER CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4500062,n,NA,not.requested,Bin A,26,85,SC,LPA75 - SHASTA COUNTY,LONE TREE MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900549,n,NA,not.requested,Bin A,26,90,SC,DISTRICT 18 - SONOMA,SONOMA COUNTY CSA 41-FREESTONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900901,n,NA,not.requested,Bin A,26,80,SC,DISTRICT 18 - SONOMA,SOBRE VISTA WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5401038,n,NA,not.requested,Bin A,26,86,SC,DISTRICT 24 - TULARE,AKIN WATER CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5601401,n,NA,not.requested,Bin A,26,31,SC,DISTRICT 06 - SANTA BARBARA,KROTONA INSTITUTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5602109,n,NA,not.requested,Bin A,26,160,SC,DISTRICT 06 - SANTA BARBARA,GLENVIEW MOBILE PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0400026,n,NA,not.requested,Bin A,25,50,NA,LPA34 - BUTTE COUNTY,MEADOWBROOK OAKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1000238,n,NA,not.requested,Bin A,25,75,DAVCS,DISTRICT 23 - FRESNO,CAMDEN TRAILER PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1400025,n,NA,not.requested,Bin A,25,70,SC,LPA44 - INYO COUNTY,VALLEY VISTA MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1500371,n,NA,not.requested,Bin A,25,208,SC,DISTRICT 19 - TEHACHAPI,UNION PACIFIC RAILROAD CO.-KEENE WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1700657,n,NA,not.requested,Bin A,25,25,SC,DISTRICT 03 - MENDOCINO,WINDFLOWER POINT MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1900976,n,NA,not.requested,Bin A,25,67,SC,LPA49 - LA COUNTY,THE OAKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2000865,n,NA,not.requested,Bin A,25,75,SC,LPA50 - MADERA COUNTY,MD 58 SIERRA HIGHLANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2010013,n,NA,not.requested,Bin A,25,83,DAVCS,DISTRICT 11 - MERCED,CAL AM - COARSEGOLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2700634,n,NA,not.requested,Bin A,25,70,SC,LPA57 - MONTEREY COUNTY,CHETMOORE ACRES WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2701498,n,NA,not.requested,Bin A,25,75,NA,LPA57 - MONTEREY COUNTY,HARBOR VIEW WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2702003,n,NA,not.requested,Bin A,25,65,NA,LPA57 - MONTEREY COUNTY,VIERRA MEADOWS MWC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2801080,n,NA,not.requested,Bin A,25,55,SC,LPA58 - NAPA COUNTY,MILTON ROAD WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2910010,n,NA,not.requested,Bin A,25,83,SC,DISTRICT 09 - SACRAMENTO,TRUCKEE-DONNER PUD - HIRSCHDALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3600108,n,NA,not.requested,Bin A,25,10000,SC,LPA66 - SAN BERNARDINO COUNTY,GLEN HELEN WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3600172,n,NA,not.requested,Bin A,25,172,SC,LPA66 - SAN BERNARDINO COUNTY,MP MINE OPERATIONS LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3901031,n,NA,not.requested,Bin A,25,100,SC,LPA69 - SAN JOAQUIN COUNTY,132 INVESTMENTS WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4000815,n,NA,not.requested,Bin A,25,100,SC,LPA70 - SAN LUIS OBISPO COUNTY,LAS VENTANAS RANCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4200702,n,NA,not.requested,Bin A,25,75,NA,LPA72 - SANTA BARBARA COUNTY,VIEJA MUTUAL WATER CO.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4300526,n,NA,not.requested,Bin A,25,63,SC,DISTRICT 17 - SANTA CLARA,OAKMONT WATER SYSTEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4310027,n,NA,not.requested,Bin A,25,0,WH,DISTRICT 17 - SANTA CLARA,SANTA CLARA VALLEY WATER DISTRICT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4400621,n,NA,not.requested,Bin A,25,54,SC,DISTRICT 05 - MONTEREY,RIVER GROVE MUTUAL WATER ASSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900551,n,NA,not.requested,Bin A,25,64,SC,DISTRICT 18 - SONOMA,MELITA HEIGHTS MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4900669,n,NA,not.requested,Bin A,25,82,SC,DISTRICT 18 - SONOMA,WENDELL LANE MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4901246,n,y,y,Bin A,25,118,SC,DISTRICT 18 - SONOMA,DOWNTOWN GRATON MUTUAL WATER SYSTEM,M,NA,N,NA,NA,NA,NA,NA,NA,NA,11879,NA,NA,NA,NA,NA,NA,NA,14552,NA,NA,NA,NA,NA,NA,NA,18182,NA,NA,NA,NA,NA,NA,NA,15410,One meter for every parcel.,15000,NA,NA,F,N,0,NA,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT18-SONOMA\Complete\Survey_DISTRICT18-CA4901246-DOWNTOWNGRATONMUTUALWATERSYSTEMcomplete.xlsx
CA5200500,n,NA,not.requested,Bin A,25,70,SC,LPA82 - TEHAMA COUNTY,REEDS CREEK ESTATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5400556,n,NA,not.requested,Bin A,25,53,SC,DISTRICT 24 - TULARE,RIVER RETREAT MUTUAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA5401026,n,NA,not.requested,Bin A,25,67,SC,DISTRICT 24 - TULARE,DEER MEADOW MUTUAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0300053,y,y,n,Bin A,24,44,SC,DISTRICT 10 - STOCKTON,RANCHO DEL ORO,M,NA,N,NA,NA,NA,NA,NA,NA,NA,2142,NA,NA,NA,NA,NA,NA,NA,724,NA,NA,NA,NA,NA,NA,NA,740,NA,NA,NA,NA,NA,NA,NA,27114,Expenses for 2020 include monthly maintenance and constructing the new pumphouse. $25000 was utilized for the pumphouse,NA,5000,5000,F,N,0,0,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT10-STOCKTON\Complete\Survey_DISTRICT10-CA0300053-RANCHODELORO_COMPLETE.xlsx
CA0400123,n,NA,not.requested,Bin A,24,50,NA,LPA34 - BUTTE COUNTY,HUMBOLDT HIGHLANDS MUTUAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0500075,n,NA,not.requested,Bin A,24,54,SC,LPA35 - CALAVERAS COUNTY,LAKESIDE MOBILE ESTATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0707597,n,NA,not.requested,Bin A,24,67,SC,LPA37 - CONTRA COSTA COUNTY,SANDY POINT MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0707608,n,NA,not.requested,Bin A,24,75,SC,LPA37 - CONTRA COSTA COUNTY,MARINA MOBILE MANOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1009214,n,NA,not.requested,Bin A,24,25,SC,DISTRICT 23 - FRESNO,WESTSIDE HARVESTING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1200643,n,NA,not.requested,Bin A,24,67,DAVCS,DISTRICT 01 - KLAMATH,BEACH CREEK MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1200718,n,NA,not.requested,Bin A,24,75,SC,DISTRICT 01 - KLAMATH,WADDINGTON W.W.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1400099,n,NA,not.requested,Bin A,24,53,SC,LPA44 - INYO COUNTY,MOUNTAIN VIEW TRAILER COURT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1500458,y,y,n,Bin A,24,67,SC,DISTRICT 19 - TEHACHAPI,R.S. MUTUAL WATER COMPANY,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,5410,NA,NA,NA,NA,NA,NA,NA,8050,NA,NA,NA,NA,NA,NA,NA,5800,NA,NA,NA,NA,NA,NA,NA,7000,Monthly details of revenue and expenses are not available.,NA,NA,22000,NA,N,4,1050,"The Water Company will incur $4000 per year, an expense to cover for PFAS testing.",S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT19-TEHACHAPI\Complete\Survey_DISTRICT19-CA1500458-RSMUTUALWATERCOMPANY-Partial.xlsx
CA1500553,y,y,n,Bin A,24,62,SC,DISTRICT 12 - VISALIA,RANCHOS DEL RIO,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,93568.77,NA,NA,NA,NA,NA,NA,NA,73304,NA,NA,NA,NA,NA,NA,NA,44510.74,NA,NA,NA,NA,NA,NA,NA,73304,The Water System did not report monthly expenses or monthly revenue.,0,61310,61310,F,N,1,216,NA,S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT12-VISALIA\Complete\Survey_DISTRICT12-CA1500553-RANCHOSDELRIO_COMPLETE_VA.xlsx
CA1502608,n,NA,not.requested,Bin A,24,79,SC,DISTRICT 19 - TEHACHAPI,OWENS PEAK WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1700519,n,NA,not.requested,Bin A,24,27,SC,DISTRICT 03 - MENDOCINO,CRESCENT BAY IMPROVEMENT COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1700609,n,NA,not.requested,Bin A,24,73,SC,DISTRICT 03 - MENDOCINO,LAZY S MOBILE RANCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1900785,n,NA,not.requested,Bin A,24,24,SC,LPA49 - LA COUNTY,MITCHELL'S AVENUE E MOBILE HOME PARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA1900808,n,NA,not.requested,Bin A,24,80,SC,LPA49 - LA COUNTY,LANCASTER WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2000534,n,NA,not.requested,Bin A,24,45,SC,LPA50 - MADERA COUNTY,LEISURE ACRES MUTUAL WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2701040,y,n,no.response,Bin A,24,72,SC,LPA57 - MONTEREY COUNTY,MCCOY RD WS #05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2701888,y,y,n,Bin A,24,55,SC,LPA57 - MONTEREY COUNTY,CACHAGUA MUTUAL WS (#4),M,NA,NA,4520,1792,3366,494,2502,1654,1614,NA,1287,2153,2128,1698,1970,3287,2304,NA,4826,877.41,3371,3838,944.02,1171,1093,NA,2019,3254,1351,3244,2018,2897,1458,NA,NA,NA,35116,35116,F,N,1,1000,This delinquent account is an ongoing problem and has nothing to do with the current situation (not related to COVID),S:\DDW\DDW-Public\COVID-19 CWS Financial Survey\DISTRICT05-MONTEREY\Complete\Survey_LPA57-CA2701888-CACHAGUAMUTUALWS(#4).xlsx
CA2702026,y,n,no.response,Bin A,24,53,SC,LPA57 - MONTEREY COUNTY,APRICOT LN WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3205006,n,NA,not.requested,Bin A,24,25,NA,LPA62 - PLUMAS COUNTY,GRIZZLY RANCH CSD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3301045,n,NA,not.requested,Bin A,24,35,SC,LPA63 - RIVERSIDE COUNTY,BLYTHE MOBILE HOME ESTATES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA3301226,n,NA,not.requested,Bin A,24,16,SC,LPA63 - RIVERSIDE COUNTY,MWD - EAGLE MOUNTAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4000563,n,NA,not.requested,Bin A,24,30,SC,LPA70 - SAN LUIS OBISPO COUNTY,HIGUERA APARTMENTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4000750,n,NA,not.requested,Bin A,24,55,SC,LPA70 - SAN LUIS OBISPO COUNTY,RIM ROCK WATER COMPANY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA4200505,n,NA,not.requested,Bin A,24,60,NA,LPA72 - SANTA BARBARA COUNTY,CACHUMA VILLAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
