"","Regulating Agency","Water System No.","Water System Name","Fed Type","State Type","DS Class","Max TP Class","Fee Code","Service Connections","Last SNSV","completed","PWSID","Population","tag"
"2481","LPA69 - SAN JOAQUIN COUNTY",3900714,"SUNNYSIDE ESTATES WATER SYSTEM","C","C","D1","There are no treatment plants","SC",21,2019-05-22,"n",NA,76,NA
"2482","DISTRICT 17 - SANTA CLARA",4100529,"CAMP LOMA MAR","C","C","D1","T2","SC",21,2017-05-11,"n",NA,176,NA
"2483","LPA72 - SANTA BARBARA COUNTY",4200848,"VISTA HILLS MWC","C","C","D1","There are no treatment plants",NA,21,2020-05-21,"n",NA,75,NA
"2484","LPA72 - SANTA BARBARA COUNTY",4200851,"ROLLING HILLS MWC","C","C","D1","TD",NA,21,2018-06-29,"n",NA,66,NA
"2485","DISTRICT 17 - SANTA CLARA",4300992,"GOLDEN HEIGHTS MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",21,2018-10-25,"n",NA,66,NA
"2486","LPA74 - SANTA CRUZ COUNTY",4400625,"VISTA ROBLES ASSOCIATION","C","C","D1","There are no treatment plants",NA,21,2019-05-30,"n",NA,50,NA
"2487","LPA75 - SHASTA COUNTY",4500098,"ANDERSON MOBILE HOME PARK","C","C","D1","TD","SC",21,2018-06-22,"n",NA,70,NA
"2488","DISTRICT 18 - SONOMA",4900533,"MORTON'S WARM SPRINGS / SONOMA SPRINGS","C","C","D1","T1","SC",21,2020-02-21,"n",NA,59,NA
"2489","DISTRICT 10 - STOCKTON",300078,"IONE BAND OF MIWOK INDIANS","C","C","D1","T1","SC",20,2017-06-12,"n",NA,62,NA
"2490","LPA37 - CONTRA COSTA COUNTY",707601,"RUSSOS MOBILE PARK","C","C","D1","There are no treatment plants","SC",20,2020-06-19,"n",NA,110,NA
"2491","DISTRICT 23 - FRESNO",1000213,"HARRIS FARMS/HORSE BARN","C","C","D1","T2","SC",20,2017-03-28,"n",NA,100,NA
"2492","DISTRICT 23 - FRESNO",1000407,"GEORGE COX WATER SYSTEM","C","C","D1","There are no treatment plants","DAVCS",20,2019-05-17,"n",NA,40,NA
"2493","DISTRICT 23 - FRESNO",1009078,"HARRIS FEEDING COMPANY","C","C","D1","T2","SC",20,2017-03-28,"n",NA,225,NA
"2494","LPA43 - IMPERIAL COUNTY",1300588,"IID VILLAGE","C","C","D1","T1","SC",20,2019-06-17,"n",NA,30,NA
"2495","LPA43 - IMPERIAL COUNTY",1300628,"IMPERIAL LAKES INC.","C","C","D1","T3","SC",20,2020-05-20,"n",NA,40,NA
"2496","DISTRICT 19 - TEHACHAPI",1500442,"SUNSET APARTMENTS WS","C","C","D1","There are no treatment plants","SC",20,2019-11-21,"y","CA1500442",37,"Bin A"
"2497","DISTRICT 12 - VISALIA",1500494,"WILSON ROAD WATER COMMUNITY","C","C","D1","TD","SC",20,2020-06-22,"n",NA,66,NA
"2498","DISTRICT 12 - VISALIA",1500593,"UPLANDS OF THE KERN MUTUAL WATER COMPANY","C","C","D1","TD","SC",20,2020-07-06,"n",NA,80,NA
"2499","DISTRICT 19 - TEHACHAPI",1502056,"CLARK STREET COMMUNITY WELL","C","C","D1","There are no treatment plants","SC",20,2018-04-19,"n",NA,90,NA
"2500","DISTRICT 12 - VISALIA",1502750,"RIVERVIEW HOMEOWNERS ASSOCIATION","C","C","D1","There are no treatment plants","SC",20,2020-07-06,"n",NA,40,NA
"2501","LPA46 - KINGS COUNTY",1600507,"HARDWICK WATER COMPANY","C","C","D1","There are no treatment plants",NA,20,2020-03-30,"n",NA,69,NA
"2502","LPA49 - LA COUNTY",1900055,"BLUE SKIES TRAILOR PARK","C","C","D1","T2","SC",20,2020-02-24,"n",NA,40,NA
"2503","LPA49 - LA COUNTY",1900961,"WINTERHAVEN MOBILE ESTATES","C","C","D1","T1","SC",20,2020-02-06,"n",NA,56,NA
"2504","LPA50 - MADERA COUNTY",2000511,"MD 85 VALETA","C","C","D1","There are no treatment plants","SC",20,2019-09-17,"y","CA2000511",45,"Bin A"
"2505","LPA50 - MADERA COUNTY",2000800,"MARQUEZ RENTAL","C","C","D1","There are no treatment plants",NA,20,2019-05-13,"n",NA,50,NA
"2506","LPA57 - MONTEREY COUNTY",2700535,"JOST POST WA","C","C","D1","There are no treatment plants","SC",20,2018-07-13,"n",NA,60,NA
"2507","LPA57 - MONTEREY COUNTY",2700579,"ELKHORN RD WS #04","C","C","D1","TD","SC",20,2016-09-07,"n",NA,60,NA
"2508","LPA57 - MONTEREY COUNTY",2700663,"MURPHY HILL WS #02","C","C","D1","There are no treatment plants","SC",20,2017-08-22,"y","CA2700663",60,"Bin A"
"2509","LPA57 - MONTEREY COUNTY",2701036,"APPLE AVE WS #03","C","C","D1","There are no treatment plants","SC",20,2017-08-09,"n",NA,60,NA
"2510","LPA57 - MONTEREY COUNTY",2701647,"GREEN ACRES WA","C","C","D1","There are no treatment plants",NA,20,2017-08-09,"n",NA,50,NA
"2511","LPA57 - MONTEREY COUNTY",2702094,"BLACKIE RD WS #18","C","C","D1","TD",NA,20,2016-08-08,"n",NA,60,NA
"2512","LPA57 - MONTEREY COUNTY",2702388,"ROYAL OAK PLACE WS","C","C","D1","There are no treatment plants","SC",20,2016-09-01,"n",NA,60,NA
"2513","LPA58 - NAPA COUNTY",2800531,"MOORE'S RESORT","C","C","D1","T1","SC",20,2019-01-25,"n",NA,70,NA
"2514","LPA63 - RIVERSIDE COUNTY",3301588,"ROYAL CARRIZO HOA","C","C","D1","T1","SC",20,2020-02-03,"n",NA,25,NA
"2515","LPA64 - SACRAMENTO COUNTY",3400128,"HAPPY HARBOR (SWS)","C","C",NA,"There are no treatment plants",NA,20,2019-08-21,"n",NA,60,NA
"2516","DISTRICT 05 - MONTEREY",3500511,"CASA DE FRUTA ORCHARDS","C","C","D1","TD","SC",20,2019-09-18,"n",NA,53,NA
"2517","LPA67 - SAN DIEGO COUNTY",3701780,"RICHARDSON BEARDSLEY PARK INC.","C","C","D1","There are no treatment plants","SC",20,2020-04-24,"n",NA,28,NA
"2518","LPA69 - SAN JOAQUIN COUNTY",3900517,"ALMOND PARK WATER SYSTEM","C","C","D1","There are no treatment plants","SC",20,2017-12-06,"n",NA,60,NA
"2519","LPA70 - SAN LUIS OBISPO COUNTY",4000637,"COUNTRY HILLS ESTATES","C","C","D1","T1",NA,20,2018-06-25,"n",NA,60,NA
"2520","LPA70 - SAN LUIS OBISPO COUNTY",4000803,"RANCHO SALINAS MBWC","C","C","D1","TD","SC",20,2018-06-26,"y","CA4000803",50,"Bin A"
"2521","LPA72 - SANTA BARBARA COUNTY",4200918,"LOS PRIETOS COMPLEX","C","C","D1","TD","SC",20,2019-04-16,"n",NA,45,NA
"2522","LPA74 - SANTA CRUZ COUNTY",4400613,"LAS COLINAS ROAD & WATER ASSN","C","C","D1","There are no treatment plants",NA,20,2018-04-25,"n",NA,60,NA
"2523","DISTRICT 05 - MONTEREY",4400642,"CATHEDRAL WOOD MUTUAL WATER COMPANY","C","C","D1","T2","SC",20,2019-12-11,"y","CA4400642",60,"Bin A"
"2524","LPA75 - SHASTA COUNTY",4500063,"CEDAR CREEK MOBILEHOME PARK","C","C","D1","TD","SC",20,2019-05-21,"n",NA,40,NA
"2525","DISTRICT 04 - SAN FRANCISCO",4810026,"SID - PEABODY","C","C","D1","There are no treatment plants","SC",20,2020-01-13,"n",NA,66,NA
"2526","DISTRICT 18 - SONOMA",4900913,"ROBIN WAY WATER SYSTEM","C","C","D1","TD","SC",20,2019-07-19,"n",NA,66,NA
"2527","LPA80 - STANISLAUS COUNTY",5000033,"COBLES CORNER","C","C","D1","There are no treatment plants","SC",20,2018-04-02,"n",NA,50,NA
"2528","LPA80 - STANISLAUS COUNTY",5000061,"MARTIN'S MOBILE HOME COURT","C","C","D1","There are no treatment plants","SC",20,2019-08-12,"n",NA,60,NA
"2529","DISTRICT 06 - SANTA BARBARA",5601141,"SOUTH MOUNTAIN MUTUAL WATER CO","C","C","D1","TD","SC",20,2017-04-19,"n",NA,58,NA
"2530","LPA88 - YUBA COUNTY",5800821,"HERITAGE PARK","C","C","D2","There are no treatment plants",NA,20,2020-06-25,"n",NA,26,NA
"2531","DISTRICT 04 - SAN FRANCISCO",103040,"NORRIS CANYON PROPERTY OWNERS ASSN","C","C","D1","There are no treatment plants","SC",19,2017-12-12,"n",NA,50,NA
"2532","DISTRICT 10 - STOCKTON",300011,"SUTTER PINES MHP","C","C","D1","T2","SC",19,2016-03-31,"n",NA,40,NA
"2533","DISTRICT 23 - FRESNO",1000369,"ZONNEVELD DAIRY - CEDAR","C","C","D1","T1","SC",19,2018-09-20,"n",NA,70,NA
"2534","DISTRICT 23 - FRESNO",1009232,"SUMNER PECK RANCH","C","C","D1","T2","SC",19,2019-04-11,"n",NA,85,NA
"2535","DISTRICT 01 - KLAMATH",1206002,"PALOMINO ESTATES WATER COMPANY","C","C","D1","T2","SC",19,2019-07-25,"n",NA,64,NA
"2536","DISTRICT 15 - METROPOLITAN",1900555,"LOS ANGELES, CITY OF - POWER PLANT #1","C","C","D1","T2","SC",19,2018-02-06,"n",NA,20,NA
"2537","DISTRICT 07 - HOLLYWOOD",1910032,"FOOTHILL MUNICIPAL WATER DIST.","C","C","D4","There are no treatment plants","WH",19,2020-04-29,"n",NA,0,NA
"2538","LPA50 - MADERA COUNTY",2000647,"JOHN HOVANNISIAN WATER SYSTEM","C","C","D1","There are no treatment plants","SC",19,2019-05-20,"n",NA,80,NA
"2539","DISTRICT 03 - MENDOCINO",2300596,"BIG RIVER VISTA MUTUAL WATER COMPANY","C","C","D1","T1","SC",19,2018-02-26,"y","CA2300596",36,"Bin A"
"2540","DISTRICT 03 - MENDOCINO",2300705,"LITTLE LAKE MOBILE HOME PARK","C","C","D1","T1","DAVCS",19,2019-05-07,"n",NA,38,NA
"2541","DISTRICT 03 - MENDOCINO",2300735,"HOLLY RANCH VILLAGE","C","C","D1","T1","SC",19,2019-11-18,"n",NA,50,NA
"2542","DISTRICT 03 - MENDOCINO",2300892,"COVELO MOBILE HOME PARK","C","C","D1","T1","SC",19,2018-10-30,"n",NA,30,NA
"2543","LPA57 - MONTEREY COUNTY",2700547,"DESMOND RD WS #03","C","C","D1","There are no treatment plants","SC",19,2017-10-20,"n",NA,56,NA
"2544","LPA57 - MONTEREY COUNTY",2700622,"OUTLOOK WA","C","C","D1","There are no treatment plants","SC",19,2016-09-07,"n",NA,45,NA
"2545","LPA57 - MONTEREY COUNTY",2700656,"MORO COJO MWA","C","C","D1","T1",NA,19,2017-11-07,"n",NA,67,NA
"2546","LPA57 - MONTEREY COUNTY",2700970,"ROYAL SIERRA ESTATES WS","C","C","D1","TD","SC",19,2017-01-18,"n",NA,36,NA
"2547","LPA57 - MONTEREY COUNTY",2701063,"RIVER RD WS #25","C","C","D1","There are no treatment plants",NA,19,2018-11-15,"n",NA,65,NA
"2548","LPA57 - MONTEREY COUNTY",2701820,"CORDA RD WS","C","C","D1","There are no treatment plants","SC",19,2017-07-11,"n",NA,60,NA
"2549","LPA57 - MONTEREY COUNTY",2701897,"BERRY DR WS #02","C","C","D1","There are no treatment plants","SC",19,2016-07-26,"n",NA,50,NA
"2550","LPA57 - MONTEREY COUNTY",2701959,"TIERRA VISTA MWC","C","C","D1","T2","SC",19,2016-09-02,"y","CA2701959",54,"Bin A"
"2551","LPA57 - MONTEREY COUNTY",2702110,"DELANY WC","C","C","D1","There are no treatment plants","SC",19,2016-08-31,"n",NA,60,NA
"2552","LPA58 - NAPA COUNTY",2800525,"LA TIERRA HEIGHTS MUTUAL","C","C","D1","T1","SC",19,2020-06-19,"n",NA,67,NA
"2553","LPA62 - PLUMAS COUNTY",3200195,"GREENHAVEN HOA","C","C","D1","There are no treatment plants","SC",19,2018-06-05,"n",NA,38,NA
"2554","LPA63 - RIVERSIDE COUNTY",3301502,"PARADISE VALLEY MWC","C","C","D1","There are no treatment plants","SC",19,2017-09-20,"n",NA,30,NA
"2555","LPA66 - SAN BERNARDINO COUNTY",3600385,"BROOKSIDE MHP","C","C","D1","There are no treatment plants","SC",19,2019-12-18,"n",NA,65,NA
"2556","LPA70 - SAN LUIS OBISPO COUNTY",4000744,"AFUERA DE CHORRO WATER COMPANY","C","C","D1","T1","SC",19,2018-03-28,"n",NA,75,NA
"2557","LPA72 - SANTA BARBARA COUNTY",4200579,"ROSARIO PARK","C","C","D2","T1",NA,19,2019-06-05,"n",NA,38,NA
"2558","LPA72 - SANTA BARBARA COUNTY",4200678,"SANTA ANITA MWC","C","C","D1","TD","SC",19,2018-04-20,"n",NA,38,NA
"2559","LPA72 - SANTA BARBARA COUNTY",4200827,"SANTA YNEZ ROBLAR MHP","C","C","D1","T1","SC",19,2019-10-09,"n",NA,25,NA
"2560","DISTRICT 17 - SANTA CLARA",4300573,"GREEN ACRES MUTUAL WATER","C","C","D1","T2","SC",19,2017-03-16,"n",NA,53,NA
"2561","DISTRICT 17 - SANTA CLARA",4300792,"ABORN HEIGHTS WATER MUTUAL ASSOCIATION","C","C","D1","TD","SC",19,2020-07-21,"n",NA,45,NA
"2562","DISTRICT 17 - SANTA CLARA",4300856,"SPRING VALLEY HEIGHTS ASSOCIATION INC","C","C","D1","There are no treatment plants","SC",19,2016-05-23,"n",NA,65,NA
"2563","LPA75 - SHASTA COUNTY",4500106,"RIO VISTA MOBILEHOME ESTATES","C","C","D1","There are no treatment plants","SC",19,2020-04-27,"n",NA,25,NA
"2564","DISTRICT 04 - SAN FRANCISCO",4810024,"SID - BLUE RIDGE OAKS","C","C","D1","There are no treatment plants","SC",19,2020-01-13,"n",NA,53,NA
"2565","DISTRICT 18 - SONOMA",4900736,"CLEAR CREEK WATER COMPANY","C","C","D1","T1","SC",19,2019-03-14,"n",NA,40,NA
"2566","DISTRICT 24 - TULARE",5400660,"LAKE SUCCESS MOBILE LODGE","C","C","D1","T2","SC",19,2018-10-19,"n",NA,80,NA
"2567","DISTRICT 06 - SANTA BARBARA",5601125,"COMMUNITY MUTUAL WATER CO","C","C","D1","TD","SC",19,2018-09-24,"n",NA,53,NA
"2568","LPA88 - YUBA COUNTY",5800805,"LAKE FRANCIS MUTUAL WATER COMPANY","C","C","D1","T1",NA,19,2018-02-23,"n",NA,60,NA
"2569","LPA88 - YUBA COUNTY",5800827,"WHISPERING PINES MOBILE HOME PARK","C","C","D1","There are no treatment plants","SC",19,2020-03-03,"n",NA,25,NA
"2570","DISTRICT 21 - VALLEY",410012,"SFWP-BANGOR","C","C","D1","T4","DAVCS",18,2020-07-29,"n",NA,73,NA
"2571","LPA37 - CONTRA COSTA COUNTY",707519,"DUTCH SLOUGH WATER WORKS","C","C","D1","There are no treatment plants","SC",18,2018-09-12,"n",NA,49,NA
"2572","LPA37 - CONTRA COSTA COUNTY",707547,"KNIGHTSEN COMMUNITY WATER SYSTEM","C","C","D1","TD","SC",18,2019-06-18,"n",NA,250,NA
"2573","LPA37 - CONTRA COSTA COUNTY",707615,"DOUBLETREE RANCH WATER SYSTEM","C","C","D1","T1","SC",18,2020-06-30,"n",NA,49,NA
"2574","DISTRICT 01 - KLAMATH",1200715,"GREEN DIAMOND RESOURCE COMPANY - KORBEL","C","C","D1","TD","SC",18,2018-02-23,"n",NA,250,NA
"2575","DISTRICT 12 - VISALIA",1500561,"ROUND MOUNTAIN WATER COMPANY","C","C","D1","There are no treatment plants","SC",18,2018-11-28,"n",NA,50,NA
"2576","DISTRICT 19 - TEHACHAPI",1500579,"LIFE WATER CO-OP","C","C","D1","TD","SC",18,2017-12-06,"y","CA1500579",27,"Bin A"
"2577","DISTRICT 12 - VISALIA",1500599,"CHOCTAW VALLEY MUTUAL WATER CO.","C","C","D1","T1","SC",18,2018-11-28,"y","CA1500599",44,"Bin A"
"2578","DISTRICT 12 - VISALIA",1502620,"POND MUTUAL WATER COMPANY","C","C","D1","T1","DAVCS",18,2020-07-29,"y","CA1502620",48,"Bin A"
"2579","DISTRICT 03 - MENDOCINO",1700552,"COBB AREA CWD - HILL NINE AND TEN","C","C","D1","T1","DAVCS",18,2020-08-21,"n",NA,60,NA
"2580","LPA50 - MADERA COUNTY",2000605,"WHISPERING PINES MHP","C","C","D1","There are no treatment plants","SC",18,2019-05-21,"n",NA,31,NA
"2581","LPA57 - MONTEREY COUNTY",2700837,"BLACKIE RD WS #05","C","C","D1","There are no treatment plants","SC",18,2016-08-19,"n",NA,62,NA
"2582","LPA57 - MONTEREY COUNTY",2701034,"APPLE AVE WS #02","C","C","D1","There are no treatment plants","SC",18,2017-08-09,"n",NA,75,NA
"2583","LPA57 - MONTEREY COUNTY",2701241,"ENCINAL RD WS #01","C","C","D1","T2",NA,18,2017-08-03,"n",NA,41,NA
"2584","LPA57 - MONTEREY COUNTY",2702135,"FOOTHILL WA","C","C","D1","There are no treatment plants",NA,18,2017-08-11,"n",NA,46,NA
"2585","DISTRICT 02 - LASSEN",3110124,"PLACER CWA - MONTE VISTA","C","C","D1","T3","SC",18,2019-06-17,"n",NA,56,NA
"2586","LPA63 - RIVERSIDE COUNTY",3301877,"BLOCK 77 WATER COMPANY","C","C","D1","There are no treatment plants","SC",18,2020-02-21,"n",NA,50,NA
"2587","LPA64 - SACRAMENTO COUNTY",3400155,"SEQUOIA WATER ASSOC","C","C",NA,"There are no treatment plants",NA,18,2018-06-19,"n",NA,54,NA
"2588","DISTRICT 05 - MONTEREY",3500552,"VENTURE ESTATES MWC","C","C","D1","TD","SC",18,2018-03-19,"n",NA,60,NA
"2589","LPA72 - SANTA BARBARA COUNTY",4200822,"SANTA RITA WATER","C","C","D1","TD","SC",18,2019-10-08,"n",NA,66,NA
"2590","DISTRICT 17 - SANTA CLARA",4300740,"MOUNTAIN SPRINGS MUTUAL WATER COMPANY","C","C","D1","T1","SC",18,2018-10-12,"y","CA4300740",37,"Bin A"
"2591","LPA74 - SANTA CRUZ COUNTY",4400585,"RIDGEVIEW ESTATES MWC","C","C","D1","T1",NA,18,2018-02-28,"n",NA,45,NA
"2592","LPA74 - SANTA CRUZ COUNTY",4400665,"MEADOWRIDGE MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",18,2019-03-11,"n",NA,42,NA
"2593","DISTRICT 18 - SONOMA",4900639,"REDWOOD HEIGHTS MUTUAL WATER COMPANY","C","C","D1","TD","SC",18,2020-06-15,"y","CA4900639",30,"Bin A"
"2594","DISTRICT 18 - SONOMA",4900640,"SONOMA COUNTY MUTUAL WATER COMPANY","C","C","D1","TD","SC",18,2017-05-08,"n",NA,40,NA
"2595","DISTRICT 18 - SONOMA",4901071,"BOULEVARD HEIGHTS MUTUAL WATER","C","C","D1","TD","SC",18,2013-07-09,"n",NA,60,NA
"2596","DISTRICT 18 - SONOMA",4901355,"TERRACE VIEW WATER SYSTEM","C","C","D1","TD","SC",18,2014-08-20,"n",NA,60,NA
"2597","DISTRICT 24 - TULARE",5403110,"SIERRA MUTUAL WATER CO","C","C","D1","T2","SC",18,2018-09-18,"n",NA,36,NA
"2598","DISTRICT 11 - MERCED",5500048,"DON PEDRO REC AG:FLEM.MEADOWS","C","C","D1","T2","SC",18,2018-08-22,"n",NA,1041,NA
"2599","LPA34 - BUTTE COUNTY",400090,"MOUNTAIN VILLAGE HOMEOWNER'S ASSOC","C","C","D1","TD",NA,17,2020-06-25,"n",NA,40,NA
"2600","DISTRICT 23 - FRESNO",1000445,"LINDA VISTA FARMS","C","C","D1","TD","SC",17,2019-12-06,"n",NA,63,NA
"2601","DISTRICT 23 - FRESNO",1000627,"ZONNEVELD DAIRY - CERINI","C","C","D1","T1","SC",17,2018-09-20,"n",NA,48,NA
"2602","DISTRICT 19 - TEHACHAPI",1502659,"OWENS PEAK SOUTH","C","C","D1","There are no treatment plants","SC",17,2019-02-22,"n",NA,40,NA
"2603","DISTRICT 03 - MENDOCINO",1700580,"TWIN CREEKS MOBILE AND RV VILLAGE","C","C","D1","T1","SC",17,2019-02-20,"n",NA,50,NA
"2604","DISTRICT 03 - MENDOCINO",1700702,"INNISFREE WATER COMPANY","C","C","D1","TD","SC",17,2018-12-04,"n",NA,56,NA
"2605","LPA49 - LA COUNTY",1900767,"GOLDEN VALLEY MUNICIPAL WATER DISTRICT","C","C","D1","T1","SC",17,2019-05-01,"n",NA,70,NA
"2606","LPA50 - MADERA COUNTY",2000553,"MD 28 RIPPERDAN SELF HELP","C","C","D1","There are no treatment plants","SC",17,2019-09-17,"n",NA,48,NA
"2607","DISTRICT 18 - SONOMA",2100565,"GREEN GULCH FARM","C","C","D1","T2","SC",17,2019-06-25,"n",NA,75,NA
"2608","LPA57 - MONTEREY COUNTY",2700523,"CALERA CANYON HEIGHTS HOA","C","C","D1","T1","SC",17,2018-08-08,"n",NA,39,NA
"2609","LPA57 - MONTEREY COUNTY",2700638,"MAHER RD WS #05","C","C","D1","There are no treatment plants","SC",17,2016-08-19,"n",NA,65,NA
"2610","LPA57 - MONTEREY COUNTY",2700682,"PARADISE RD WS #09","C","C","D1","There are no treatment plants","SC",17,2016-08-11,"n",NA,206,NA
"2611","LPA57 - MONTEREY COUNTY",2700842,"BAUMANN RD WS #01","C","C","D1","There are no treatment plants","SC",17,2017-10-16,"n",NA,40,NA
"2612","LPA57 - MONTEREY COUNTY",2701403,"PINE ST WS #01","C","C","D1","There are no treatment plants","SC",17,2017-09-11,"y","CA2701403",36,"Bin A"
"2613","LPA57 - MONTEREY COUNTY",2702325,"FERNWOOD WS","C","C","NR","T2","N1",17,2017-10-26,"n",NA,133,NA
"2614","LPA62 - PLUMAS COUNTY",3200155,"FRCCSD HOT SPRINGS","C","C","D1","There are no treatment plants","SC",17,2020-06-24,"n",NA,25,NA
"2615","DISTRICT 05 - MONTEREY",3500527,"VALENZUELA WATER SYSTEM","C","C","D1","T2","DAVCS",17,2018-06-07,"n",NA,55,NA
"2616","LPA70 - SAN LUIS OBISPO COUNTY",4000660,"BEAR VALLEY WATER COMPANY","C","C","D1","TD",NA,17,2018-05-30,"n",NA,45,NA
"2617","LPA70 - SAN LUIS OBISPO COUNTY",4000749,"TERRA DE ORO WATER COMPANY","C","C","D1","TD","SC",17,2018-04-05,"n",NA,35,NA
"2618","LPA72 - SANTA BARBARA COUNTY",4200633,"LINGATE MUTUAL WATER CO","C","C","D1","There are no treatment plants",NA,17,2020-06-02,"n",NA,55,NA
"2619","LPA72 - SANTA BARBARA COUNTY",4200731,"ALEGRIA MUTUAL WATER CO.","C","C","D1","TD",NA,17,2018-04-20,"n",NA,54,NA
"2620","LPA72 - SANTA BARBARA COUNTY",4200804,"WALKING M RANCHES","C","C","D1","TD","SC",17,2018-05-23,"n",NA,54,NA
"2621","LPA75 - SHASTA COUNTY",4500016,"LAKEHEAD SUBD MUTUAL WATER CO","C","C","D1","TD","N1",17,2018-06-27,"n",NA,40,NA
"2622","LPA75 - SHASTA COUNTY",4500247,"WEST COTTONWOOD APARTMENTS","C","C","D1","TD",NA,17,2019-11-14,"n",NA,35,NA
"2623","LPA75 - SHASTA COUNTY",4500290,"PINE GROVE MOBILEHOME PARK","C","C","D1","TD","SC",17,2019-05-21,"n",NA,47,NA
"2624","DISTRICT 18 - SONOMA",4901346,"DELORES LANE WATER SYSTEM","C","C","D1","TD","SC",17,2017-09-19,"n",NA,56,NA
"2625","DISTRICT 21 - VALLEY",5100112,"TIERRA BUENA MHP #1","C","C","D1","There are no treatment plants","SC",17,2019-10-08,"n",NA,50,NA
"2626","LPA82 - TEHAMA COUNTY",5200555,"RIO RANCH COMMUNITY SVCS DIST","C","C","D1","There are no treatment plants","SC",17,2015-02-13,"y","CA5200555",44,"Bin A"
"2627","LPA82 - TEHAMA COUNTY",5200657,"NORCAL WATER WORKS","C","C","D1","TD",NA,17,2017-06-08,"n",NA,45,NA
"2628","LPA32 - ALPINE COUNTY",202503,"WOODFORDS MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",16,2016-05-03,"n",NA,50,NA
"2629","LPA34 - BUTTE COUNTY",400003,"HARTLEY MUTUAL WATER SYSTEM","C","C","D1","There are no treatment plants",NA,16,2018-08-24,"n",NA,31,NA
"2630","LPA34 - BUTTE COUNTY",400041,"FOREST RANCH MOBILE PARK","C","C","D1","TD",NA,16,2020-06-03,"n",NA,25,NA
"2631","LPA37 - CONTRA COSTA COUNTY",707594,"CASA MEDANOS WATER SYSTEM","C","C","D1","TD","SC",16,2019-06-19,"n",NA,45,NA
"2632","DISTRICT 23 - FRESNO",1009023,"BRITZ/COLUSA","C","C","D1","T2","SC",16,2019-09-12,"n",NA,85,NA
"2633","LPA44 - INYO COUNTY",1400109,"SIERRA NORTH COMMUNITY SERVICE DISTRICT","C","C","D1","There are no treatment plants","SC",16,2015-06-11,"n",NA,35,NA
"2634","LPA44 - INYO COUNTY",1400511,"MEADOW LAKE APARTMENTS","C","C","D1","There are no treatment plants","SC",16,2019-07-24,"n",NA,35,NA
"2635","DISTRICT 19 - TEHACHAPI",1500455,"WILLIAM FISHER MEMORIAL WATER COMPANY","C","C","D1","TD","DAVCS",16,2018-07-13,"n",NA,56,NA
"2636","DISTRICT 12 - VISALIA",1500543,"AGAPE MUTUAL WATER SYSTEM","C","C","D1","There are no treatment plants","SC",16,2018-12-14,"n",NA,60,NA
"2637","DISTRICT 12 - VISALIA",1502383,"NORD ROAD WATER ASSOCIATION","C","C","D1","T1","SC",16,2018-11-16,"n",NA,32,NA
"2638","DISTRICT 19 - TEHACHAPI",1502449,"CYPRESS CANYON WATER SYSTEM","C","C","D1","There are no treatment plants","DAVCS",16,2019-11-19,"n",NA,44,NA
"2639","DISTRICT 12 - VISALIA",1502465,"PANAMA ROAD PROPERTY OWNERS ASSOC","C","C","D1","There are no treatment plants","SC",16,2018-12-19,"n",NA,45,NA
"2640","DISTRICT 12 - VISALIA",1502645,"MEADOWS OF THE KERN MUTUAL WATER COMPANY","C","C","D1","TD","SC",16,2018-11-28,"n",NA,32,NA
"2641","LPA49 - LA COUNTY",1900717,"CASA DULCE ESTATES","C","C","D1","There are no treatment plants","SC",16,2020-05-07,"n",NA,28,NA
"2642","LPA50 - MADERA COUNTY",2000727,"MD 36 EASTIN ARCOLA","C","C","D1","There are no treatment plants","SC",16,2019-12-10,"n",NA,80,NA
"2643","LPA57 - MONTEREY COUNTY",2700536,"CORRAL DE TIERRA ESTATES WC","C","C","D1","There are no treatment plants","SC",16,2016-04-04,"n",NA,45,NA
"2644","LPA57 - MONTEREY COUNTY",2700541,"DEL MONTE FARMS RD WS #03","C","C","D1","There are no treatment plants","SC",16,2017-10-16,"y","CA2700541",55,"Bin A"
"2645","LPA57 - MONTEREY COUNTY",2700669,"ORCHARD LN WS #02","C","C","D1","There are no treatment plants","SC",16,2019-09-16,"n",NA,32,NA
"2646","LPA57 - MONTEREY COUNTY",2700691,"PESANTE RD WS #06","C","C","D1","There are no treatment plants","SC",16,2018-10-15,"y","CA2700691",48,"Bin A"
"2647","LPA57 - MONTEREY COUNTY",2700740,"SAN MIGUEL WS #03","C","C","D1","There are no treatment plants","SC",16,2016-09-01,"n",NA,45,NA
"2648","LPA57 - MONTEREY COUNTY",2700775,"TIERRA VERDE MWC","C","C","D1","There are no treatment plants","SC",16,2017-09-13,"n",NA,48,NA
"2649","LPA57 - MONTEREY COUNTY",2701278,"RANCHO CHAPARRAL MWC","C","C","D1","T2","SC",16,2017-12-08,"n",NA,48,NA
"2650","LPA57 - MONTEREY COUNTY",2701423,"ECHO VALLEY RD WS #05","C","C","D1","There are no treatment plants","SC",16,2016-08-12,"y","CA2701423",45,"Bin A"
"2651","LPA57 - MONTEREY COUNTY",2701633,"PARADISE RD WS #21","C","C","D1","There are no treatment plants","SC",16,2016-08-30,"n",NA,48,NA
